327.082667	327.082667	C6
328.533333	328.533333	B
330.965333	330.965333	G6
332.757333	332.757333	Am7b5/G
334.378667	334.378667	Em
343.210667	343.210667	D/F#
344.661333	344.661333	G
345.557333	345.557333	B7/D#
346.154667	346.154667	Em
346.837333	346.837333	Am
347.605333	347.605333	Em
349.141333	349.141333	E
355.157333	355.157333	Fm7b5/Eb
355.925333	355.925333	B
361.173333	361.173333	Em
361.984000	361.984000	E
364.117333	364.117333	A
365.653333	365.653333	B7
367.232000	367.232000	E
373.162667	373.162667	Fm7b5/Eb
374.016000	374.016000	B/D#
375.893333	375.893333	B7/D#
377.301333	377.301333	B
379.264000	379.264000	Em
380.586667	380.586667	E
382.634667	382.634667	A
383.786667	383.786667	B7
385.408000	385.408000	E
386.261333	386.261333	B7/D#
386.730667	386.730667	E
387.712000	387.712000	F#m7b5/E
388.138667	388.138667	B6
390.869333	390.869333	B7
391.381333	391.381333	E
392.448000	392.448000	B7
392.874667	392.874667	E
393.941333	393.941333	F#m7b5/E
394.368000	394.368000	Abm
396.202667	396.202667	Bmaj7
397.013333	397.013333	B7
397.568000	397.568000	Emaj7
399.274667	399.274667	B7/D#
400.725333	400.725333	Emaj7
401.706667	401.706667	E6
402.474667	402.474667	B
403.200000	403.200000	Abm
403.797333	403.797333	E
405.248000	405.248000	B7/D#
406.784000	406.784000	Emaj7
408.192000	408.192000	B
409.301333	409.301333	Emaj7
411.306667	411.306667	B7/D#
412.586667	412.586667	Emaj7
414.293333	414.293333	B
415.744000	415.744000	E
421.077333	421.077333	B
421.760000	421.760000	E
422.485333	422.485333	C#
422.826667	422.826667	Ebm7b5
423.424000	423.424000	B
423.722667	423.722667	E
424.362667	424.362667	F#m
425.130667	425.130667	B
425.514667	425.514667	E
426.026667	426.026667	D
427.264000	427.264000	C#m7
428.032000	428.032000	Eb
428.458667	428.458667	Dm
428.800000	428.800000	C
429.952000	429.952000	F
430.848000	430.848000	F#dim
431.701333	431.701333	E
432.682667	432.682667	B
433.536000	433.536000	E
434.133333	434.133333	C#
434.432000	434.432000	F#m
435.072000	435.072000	E
435.840000	435.840000	C#maj7
436.181333	436.181333	F#m
436.778667	436.778667	B
437.077333	437.077333	Amaj7
438.826667	438.826667	Bm
439.338667	439.338667	Ebm7
439.978667	439.978667	A
440.362667	440.362667	C
441.472000	441.472000	F
443.264000	443.264000	E
444.202667	444.202667	B
445.141333	445.141333	Amaj7
446.378667	446.378667	B7
446.890667	446.890667	C#m
447.701333	447.701333	A
448.341333	448.341333	E
