0.565333	0.565333	437.941
0.576000	0.576000	434.528
0.586667	0.586667	494.347
0.597333	0.597333	496.676
0.608000	0.608000	495.116
0.618667	0.618667	500.936
0.629333	0.629333	502.272
0.640000	0.640000	499.372
0.650667	0.650667	250.476
0.661333	0.661333	250.358
0.672000	0.672000	166.334
0.682667	0.682667	249.597
0.693333	0.693333	250.462
0.704000	0.704000	85.126
0.714667	0.714667	84.683
0.725333	0.725333	208.333
0.736000	0.736000	167.408
0.746667	0.746667	166.500
0.757333	0.757333	166.076
0.768000	0.768000	166.799
0.778667	0.778667	423.014
0.789333	0.789333	424.901
0.800000	0.800000	471.033
0.810667	0.810667	85.050
0.821333	0.821333	167.573
0.832000	0.832000	167.686
0.842667	0.842667	167.539
0.853333	0.853333	167.428
0.864000	0.864000	167.178
0.874667	0.874667	167.095
0.885333	0.885333	83.610
0.896000	0.896000	83.310
0.906667	0.906667	83.306
0.917333	0.917333	83.389
0.928000	0.928000	84.369
0.938667	0.938667	209.390
0.949333	0.949333	208.662
0.960000	0.960000	83.091
0.970667	0.970667	82.978
0.981333	0.981333	82.908
0.992000	0.992000	83.020
1.002667	1.002667	166.930
1.013333	1.013333	167.297
1.024000	1.024000	166.926
1.034667	1.034667	166.568
1.045333	1.045333	167.032
1.056000	1.056000	166.875
1.066667	1.066667	83.163
1.077333	1.077333	83.321
1.088000	1.088000	166.764
1.098667	1.098667	167.606
1.109333	1.109333	437.054
1.120000	1.120000	435.126
1.130667	1.130667	429.945
1.141333	1.141333	206.641
1.152000	1.152000	208.274
1.162667	1.162667	214.023
1.173333	1.173333	135.715
1.184000	1.184000	136.673
1.194667	1.194667	84.129
1.205333	1.205333	210.730
1.216000	1.216000	136.547
1.226667	1.226667	84.002
1.237333	1.237333	83.967
1.248000	1.248000	83.726
1.258667	1.258667	83.566
1.269333	1.269333	83.520
1.280000	1.280000	83.171
1.290667	1.290667	83.352
1.301333	1.301333	83.128
1.312000	1.312000	83.039
1.322667	1.322667	83.193
1.333333	1.333333	83.168
1.344000	1.344000	83.401
1.354667	1.354667	83.547
1.365333	1.365333	83.492
1.376000	1.376000	83.130
1.386667	1.386667	83.332
1.397333	1.397333	83.330
1.408000	1.408000	83.431
1.418667	1.418667	417.770
1.429333	1.429333	209.088
1.440000	1.440000	138.729
1.450667	1.450667	209.041
1.461333	1.461333	210.506
1.472000	1.472000	209.916
1.482667	1.482667	210.801
1.493333	1.493333	82.965
1.504000	1.504000	83.334
