Time,Value
0.565333,0.20751475729345892
0.010666999999999982,0.20566287228287555
0.010667000000000093,0.23812050763244663
0.010665999999999953,0.23938421703462912
0.010666999999999982,0.23853776505205948
0.010666999999999982,0.24169568206395378
0.010666000000000064,0.2424205922233852
0.010666999999999982,0.2408470596916853
0.010666999999999982,0.10579673106755501
0.010665999999999953,0.10573270457143756
0.010667000000000093,0.06014149855641955
0.010666999999999982,0.10531978793122253
0.010665999999999953,0.10578913470360886
0.010666999999999982,0.016078246889424615
0.010667000000000093,0.01583787623027184
0.010665999999999953,0.08293004779740713
0.010666999999999982,0.060724248190573225
0.010666999999999982,0.06023156972892375
0.010666000000000064,0.060001508420840725
0.010666999999999982,0.06039380635891626
0.010666999999999982,0.19941540553460224
0.010665999999999953,0.20043928687505663
0.010667000000000093,0.22547039127242893
0.010666999999999982,0.016037009485145578
0.010665999999999953,0.060813776765652715
0.010666999999999982,0.06087509027464654
0.010667000000000093,0.06079532845321209
0.010665999999999953,0.060735100139067716
0.010666999999999982,0.06059945078288669
0.010666999999999982,0.06055441519663459
0.010666000000000064,0.015255669193542872
0.010666999999999982,0.015092889966125643
0.010666999999999982,0.015090719576426744
0.010665999999999953,0.015135755162678843
0.010667000000000093,0.015667500638908465
0.010666999999999982,0.08350357327534051
0.010665999999999953,0.08310856235014137
0.010666999999999982,0.014974061130111061
0.010666999999999982,0.014912747621117236
0.010666000000000064,0.014874765801386554
0.010666999999999982,0.01493553671295565
0.010666999999999982,0.060464886621555115
0.010666000000000064,0.06066401987642886
0.010666999999999982,0.060462716231856214
0.010666999999999982,0.060268466353805
0.010666000000000064,0.06052023155887698
0.010666999999999982,0.060435043763195286
0.010666999999999982,0.015013128144691197
0.010666000000000064,0.015098858537797607
0.010666999999999982,0.06037481544905092
0.010666999999999982,0.06083168248066861
0.010665999999999842,0.20703347337772862
0.010667000000000204,0.20598734554286055
0.010666999999999982,0.203176148285365
0.010665999999999842,0.08201197295477396
0.010666999999999982,0.08289803454934842
0.010666999999999982,0.08601742714408728
0.010666000000000064,0.04352770800879225
0.010666999999999982,0.04404751634167794
0.010666999999999982,0.015537277256974685
0.010666000000000064,0.08423065382447081
0.010666999999999982,0.043979149066162695
0.010666999999999982,0.01546836738403472
0.010666000000000064,0.015449376474169376
0.010666999999999982,0.01531861049481087
0.010666999999999982,0.015231794906855015
0.010666000000000064,0.015206835425317701
0.010666999999999982,0.015017468924088995
0.010666999999999982,0.015115679057964057
