time,rms_normalized
128.05804988662132,0.017990705
128.08126984126983,0.015228544
128.10448979591837,0.012113221
128.1277097505669,0.009810713
128.15092970521542,0.007731775
128.17414965986396,0.0069599673
128.19736961451247,0.0067443275
128.220589569161,0.006616359
128.24380952380952,0.007872169
128.26702947845806,0.010084711
128.29024943310657,0.011475121
128.3134693877551,0.012387226
128.33668934240362,0.012678429
128.35990929705216,0.011939058
128.3831292517007,0.011143947
128.4063492063492,0.010713563
128.42956916099774,0.009929473
128.45278911564623,0.009069821
128.4760090702948,0.008436274
128.4992290249433,0.0070537194
128.52244897959184,0.0063083433
128.54566893424035,0.008407472
128.5688888888889,0.01236764
128.5921088435374,0.014303293
128.61532879818594,0.01640421
128.63854875283448,0.017573243
128.661768707483,0.01699245
128.68498866213153,0.017118558
128.70820861678004,0.016528493
128.73142857142858,0.015036688
128.7546485260771,0.013602177
128.77786848072563,0.012217136
128.80108843537414,0.010658205
128.82430839002268,0.009856551
128.8475283446712,0.009118452
128.87074829931973,0.010431004
128.89396825396827,0.012720296
128.91718820861678,0.0146327065
128.94040816326532,0.016504137
128.96362811791383,0.016976304
128.98684807256237,0.015922861
129.01006802721088,0.014189808
129.03328798185942,0.0122396415
129.05650793650793,0.010147911
129.07972789115647,0.009323413
129.10294784580498,0.008972719
129.12616780045352,0.008447777
129.14938775510203,0.008161879
129.17260770975057,0.00782377
129.1958276643991,0.008250768
129.2190476190476,0.01030487
129.24226757369615,0.01240108
129.26548752834466,0.0154172545
129.2887074829932,0.017001003
129.3119274376417,0.017930496
129.33514739229025,0.0180812
129.35836734693876,0.017531956
129.3815873015873,0.01721561
129.40480725623584,0.015781453
129.42802721088435,0.014278565
129.4512471655329,0.011953165
129.4744671201814,0.009768533
129.49768707482994,0.008531085
129.52090702947845,0.008525648
129.544126984127,0.0105911335
129.5673469387755,0.015335456
129.59056689342404,0.01873451
129.61378684807255,0.020259608
129.6370068027211,0.020283736
129.66022675736963,0.018553007
129.68344671201814,0.01761457
129.70666666666668,0.022366758
129.7298866213152,0.043882303
129.75310657596373,0.068105675
129.77632653061224,0.085857354
129.79954648526078,0.091572635
129.8227664399093,0.09851408
129.84598639455783,0.08909978
129.86920634920634,0.085461386
129.89242630385488,0.090768866
129.9156462585034,0.08325732
129.93886621315193,0.091889046
129.96208616780046,0.08893469
129.98530612244895,0.087523274
130.0085260770975,0.08409714
130.03174603174602,0.08836012
130.05496598639456,0.11446555
130.07818594104307,0.12469616
130.1014058956916,0.1467281
130.12462585034012,0.14923382
130.14784580498866,0.13737617
130.1710657596372,0.12771629
130.1942857142857,0.11367007
130.21750566893425,0.15153311
130.24072562358276,0.17548443
130.2639455782313,0.18517965
130.2871655328798,0.18721841
130.31038548752835,0.16176634
130.33360544217686,0.13886312
130.3568253968254,0.13164715
130.3800453514739,0.13008866
130.40326530612245,0.12589966
130.426485260771,0.12641855
130.4497052154195,0.118560836
130.47292517006804,0.109135926
130.49614512471655,0.100263804
130.5193650793651,0.08161766
130.5425850340136,0.07911212
130.56580498866214,0.07822385
130.58902494331065,0.068270944
130.6122448979592,0.062228817
130.6354648526077,0.057277545
130.65868480725624,0.04440046
130.68190476190478,0.038050875
130.70512471655329,0.03444941
130.72834467120182,0.029876363
130.75156462585034,0.028412605
130.77478458049887,0.025684467
130.79800453514738,0.024020767
130.82122448979592,0.02216195
130.84444444444443,0.021006329
130.86766439909297,0.02184514
130.89088435374148,0.021798704
130.91410430839002,0.02164541
130.93732426303856,0.02083402
130.96054421768707,0.019935349
130.9837641723356,0.020654462
131.00698412698412,0.02119112
131.03020408163266,0.020924103
131.05342403628117,0.01985179
131.0766439909297,0.017582474
131.09986394557822,0.015179127
131.12308390022676,0.014103087
131.14630385487527,0.012803127
131.1695238095238,0.011843726
131.19274376417235,0.012197843
131.21596371882086,0.013880456
131.2391836734694,0.016888652
131.2624036281179,0.020853432
131.28562358276645,0.023600494
131.30884353741496,0.023547038
131.3320634920635,0.021673778
131.355283446712,0.017878076
131.37850340136055,0.013322334
131.40172335600906,0.012875654
131.4249433106576,0.015798397
131.44816326530614,0.018290533
131.47138321995465,0.021346329
131.49460317460318,0.022679804
131.5178231292517,0.021686248
131.54104308390023,0.021125149
131.56426303854877,0.020045359
131.58748299319728,0.022260182
131.6107029478458,0.023592358
131.63392290249433,0.026866911
131.65714285714284,0.030250095
